예산
2500 - 3000
5000
1000
2500
4000
1800
5000
2000
2000
1000
1000
1500
2000
3000
4000
1000
2000
3000
3000
2500
4000
2000
2000
4000
4000
5000
1500
3000
3300
450
4000
2000
4000
3000
3500
1000
3800
1500
40000
1000
6000
2500
4000
1000
2000
1500
2000
5000
10000
2700
3500
4000
2000
2500
1800
1500
4000
5000
4000~5000
3000
5000
3000~4000
3000~4000
3500
10000
1000
4000
2500~3000
1500~2000
3000
2000
500~1000
600?
3000
2000
2000
1500
2000
4000
3000
7000
견적내용에 의함
2000
2000
2000
3000
2500
2500
2000~2500
3000
2000
4000만원 전후
15000? 1500?
3500
5000
2000-2500
2500
적을수록 좋아요
1500~2000
2000
1000
2000
2500
2500~5000
2000
1000
3000~4000
1000~1500
3000~5000
300
1600
3000
2000~3000
15000
3000
5000
3000~4000
4000
3300
5000
2000
2000
2000
3000~4000
2000
2000
1200
2500
3000
1000
3000
3500
2000~2500
4000
500~1000
5000
2500
2500
5000~10000
2000
3000~4000
1200
3000~4000
3500
1000
2000
2000
1500
3000
2000
2500
생각은 특별히 안해봤어요. 합리적인 예산부탁드려요
5000
500만원
3000~4000
2000내외
3000~4000
100
2000
5000
2000
3000
2500
미정
3000
3500
3000
2000
3000~4000
3000
1000
9000~10,000
3000
1000
1200
2000-2500
3000
3000-4000
4000~5000
2000~2500
1000만원
천만원 내외
1000만원
1000만원
2500
4000 ~ 5000
아직잘모르겠어요
7천만원
3300만원
3천만원이하
1500 만원
2500 잘 모르겠어요 @
1000~1500만원
1200
2000만원 
1500
3천만원
3000~5000
5천만원
1000~1500만원
3000
3000만원?
3000+이중창샷시
1500만
3-4000
3천~4천
1000만원
1000-2000만원
3천만원
9,000,000
3000만원
2-400만원
4000 ~ 5000
2천 초중반
3000만원
max 3500, 3000~3200 정도로 가능하면 좋을것 같네요
일천만원
예산을 전혀 감을 못 잡고 있습니다..저렴한 가격보다 좋은 품질을 더 중요하게 생각합니다.^^
1500-2000
천만원이내
2000미만
3000만원
3천만원대
3000-3500만원, 최대 4000만원 이하
1000-2000
평당 150만원
3천만원
3000 (아주 대략적으로)
1500만원
4천만
1000만원
3천~4천만원
4000만원
부엌 100~200 화장실은 가격 예상이 어렵네요
2천만원대 
5,000만원
4천
1500-1700
2000만원
2,000만원
2000만원
5500
800만원
2000
2000만원
이천만원
3000
2500
사천만원
4000~4500
0
4000-5000
3000-3500
25,000천원~30,000천원
2000만원 이상
2000만원
4500
7000만원
300
15,000,000
5000
2500~3000
1500만원 내외
2000만원 정도
2천만원대
견적보고 결정할예정입니다
3000-3500
5000만원 
3000-4000
2500000
4000
약 2,500-3,000만원
2000만원 이내
2000전후반
2500만
3000
5000-6000
5000 이하(샷시, 욕실, 주방 제외하고)
?
2500만원
2500만원
2천500정도
약 3000만원
3000-4000
2000만원 이하
3-4천
1억
7000/8000
1500-2000만원
20,000,000 원
3500
6000만원 이하
3500
1500-2000만원
1억
8000~9000
2500
3000
20000000원
3000만원이하
3000만원
2,000만원~2,500만원
4천만원
1000만원
6000만원내외
3000
3천만원
1000만~1500만
3500
2800만원
15000 ~
4300만원
1500만원
2600
4000
2,000만원
6천 ~ 6천 5백
3500만원 
3300
2000만원
2,500만원
4000만원
미정
3000~3500만원
1000
4000만원
25,000,000원
3000만원
없음 저렴할수록 좋음
2000만원 미만
5000만원 
2000만원
아직 정확하게 예상을 못하겠어요.
2000만원
최대 5천만원
4000
5000~6000만원
3000
3000만원
2천만원
5000만원
2000만원미만
1000만우ㅜㄴ
천-천오백
5000만원
2,500만원
1500만원
1억이상
1500
500만원대
3000만원
1000만원미만
2000 만원
2500만~최대3000만
4-5000만원
약6~7천만원
1000만원에서 2000만원
3000
3천만원
4000~5000만원
1500만원
1400-1700만원
3000만원
3000만원 ~
850
1500
5000만원 
상담후 결정하고 싶습니다. 일단은 평당 100-150만원 예상하고 있습니다. 
100,000,000
3000
20000000
4000만원대
1억
2000만원
2500~2800만 원
2000~3000만원
1500만원
11,000
3000
1500만원
7500
3000~3500만원
3000만원
3000만원
1000~1500만원
??
2000만원
1500~2000만원
1천만원
300-500
미정
1000
2500만원정도
3000만원
3000만원
6000-7000만원
미정
4500
1000
2500내외
미정
2000-3000
1000만원
5000만원
5000만원
2000만원
500
육천만원
4000만원
2800만원
3000
3000
3500-4000만원
5000만원
500만원
1000만원
2000만원대
3000만원
2000만원 초반
미정
3000
300
2500~3000만원
3000천만원
2천만원대
2000만원
5000만원
1천만원
최대 2,000만원. 
1500만
5000만원
0000
4000
1000
2000
4000
3000
2100
3500
1000
0 견적수취 후 판단 
1000
3
7000
1000000
4천
5000
600
3000
3500
1500
500
20000
6
1500
1500
2000
2000만원
2000
1500
1500
4000
4000만원
3000만원 내외
3000
4500
2000~3000만원
3000만원대 생각하고 있습니다.
3000-4000만원내외 
3500
2900만원
3000
1천만원
40000000
1500
10000
2000
1500
3000만원
3000
2000
80000000
4000
40000000
1500
1000
4000
5000만원
2000
2000
2500
1000
1000
1000
2000
4300
2
2500
1500
1500
2500
5000
2000
40000000
2500
1000만원 이하
2000
2500만원
2300
3500
2500~3000만원
2000만원~3000만원
2800
30000000
2500
7000
3000
3000
2000만원
1000
2,800~3,000만원
1000
3200
2000만원
3000
5000
8000
4000만원내외
2000
4000
3500
1000
1000만원~1500만원
20000000
1500
3000
2천~3천... 
1500만원 언더
4천만원
2000
3000
2000만원
2500
6000만원
3500이내
3000
2000만원
6000만원
2000
2000
1000
2000
2000~2500만원
300만원
60000000
7000
2000
00
30000000
00000
1000만원
3000만원 미만
3천만원
700
3000
2500만원
3000만원대
3500
4000
1000
3000~4000만
3~4천
약 500만운 
5000만원
1500만원
1500만원
2000-3000
2000
가구와 가전 구매와 간단한 시공을 포함하여 1800만원 가량을 생각하고있습니다 
100
800
1000만원
